Net Income (In Thousands of Dollars $000) (All U.S. Carriers - All regions),,,,,,,
Year,Quarter,DOMESTIC,LATIN AMERICA,ATLANTIC,PACIFIC,INTERNATIONAL,TOTAL
2000,1,"1,39,162","58,927","-68,918","-1,06,308",839,"23,702"
2000,2,"15,70,500","-86,040","2,50,371","1,54,724","9,541","18,99,096"
2000,3,"5,48,903","33,056","2,26,224","83,675","45,470","9,37,327"
2000,4,"-2,67,068","6,639","-95,916","5,533","23,388","-3,27,425"
2000,TOTAL,"19,91,496","12,581","3,11,761","1,37,623","79,238","25,32,700"
2001,1,"-8,22,384","76,822","-59,644","-1,01,160","-3,410","-9,09,776"
2001,2,"-7,74,977","3,683","1,16,147","-2,05,108","-62,860","-9,23,115"
2001,3,"-22,32,653","-6,375","-44,209","-2,72,018","-4,848","-25,60,103"
2001,4,"-34,04,841","-63,631","-1,94,802","-1,90,370","-19,871","-38,73,515"
2001,TOTAL,"-72,34,855","10,499","-1,82,509","-7,68,656","-90,989","-82,66,509"
2002,1,"-26,21,918","-1,76,148","-3,72,012","-89,470","9,187","-32,50,361"
2002,2,"-12,98,581","-44,110","-43,360","-49,899","-33,900","-14,69,850"
2002,3,"-23,51,704","-67,435","-38,578","-64,051","27,239","-24,94,531"
2002,4,"-30,56,898","-1,49,090","-5,75,563","-2,88,296","-80,895","-41,50,742"
2002,TOTAL,"-93,29,102","-4,36,783","-10,29,513","-4,91,717","-78,369","-1,13,65,484"
2003,1,"-10,85,012","-51,869","-4,52,157","-3,30,213","-1,673","-19,20,924"
2003,2,"6,06,461","1,00,285","1,68,328","-2,27,315",-340,"6,47,420"
2003,3,"-6,42,496","1,29,566","2,90,670","-51,195","7,554","-2,65,900"
2003,4,"-3,48,536","1,07,826","1,09,623","-42,980","-1,997","-1,76,064"
2003,TOTAL,"-14,69,581","2,85,808","1,16,463","-6,51,702","3,543","-17,15,469"
2004,1,"-16,22,122","2,01,821","31,510","-73,884","6,499","-14,56,177"
2004,2,"-20,18,851","42,467","1,15,648","-61,035","6,648","-19,15,125"
2004,3,"-17,02,368","38,782","3,31,619","94,637","1,13,802","-11,23,527"
2004,4,"-45,62,813","30,756","-71,246","-31,241","24,949","-46,09,595"
2004,TOTAL,"-99,06,154","3,13,825","4,07,530","-71,523","1,51,897","-91,04,424"
2005,1,"-29,56,735","95,583","-2,02,866","-1,79,050","35,932","-32,07,135"
2005,2,"-15,11,275","30,014","2,07,515","-2,49,681","36,266","-14,87,161"
2005,3,"-22,31,293","-43,150","1,64,743","-2,93,751","70,285","-23,33,166"
2005,4,"-1,30,48,233","-8,02,628","-22,78,672","-41,11,334","48,434","-2,01,92,434"
2005,TOTAL,"-1,97,47,536","-7,20,181","-21,09,279","-48,33,816","1,90,916","-2,72,19,896"
2006,1,"1,20,49,285","11,10,214","29,66,133","47,05,502","31,349","2,08,62,482"
2006,2,"-6,42,693","42,078","83,950","-1,86,742","9,296","-6,94,110"
2006,3,"-5,92,826","1,90,769","3,10,776","-1,09,207","38,787","-1,61,700"
2006,4,"-17,70,107","1,21,001","-1,72,714","-57,349","58,610","-18,20,559"
2006,TOTAL,"90,43,659","14,64,063","31,88,145","43,52,204","1,38,042","1,81,86,112"
2007,1,"-4,88,478","3,03,476","1,12,807","-39,093","44,269","-67,019"
2007,2,"34,03,274","3,68,016","12,24,053","9,22,144","62,075","59,79,562"
2007,3,"6,26,687","2,42,447","5,91,292","3,02,755","37,068","18,00,249"
2007,4,"-5,45,608","2,21,388","1,20,177","1,35,670","46,986","-21,387"
2007,TOTAL,"29,95,875","11,35,327","20,48,328","13,21,476","1,90,398","76,91,404"
2008,1,"-97,77,777","-3,35,226","-13,26,883","-1,51,807","-8,011","-1,15,99,703"
2008,2,"-22,54,820","-2,21,837","-8,49,465","-9,53,640","3,106","-42,76,656"
2008,3,"-26,33,833","1,71,764","-2,13,390","-58,070","14,972","-27,18,557"
2008,4,"-35,07,540","-29,950","-8,86,774","-4,99,005","-2,31,649","-51,54,919"
2008,TOTAL,"-1,81,73,970","-4,15,249","-32,76,511","-16,62,522","-2,21,582","-2,37,49,834"
2009,1,"-15,16,128","1,36,650","-4,46,958","-63,964","45,643","-18,44,758"
2009,2,"-3,44,471","-11,264","-1,64,482","-1,14,056","5,612","-6,28,662"
2009,3,"-1,44,230","86,376","-3,069","-58,753","17,452","-1,02,224"
2009,4,"-2,47,244","1,92,905","-20,067","23,138","1,00,634","49,366"
2009,TOTAL,"-22,52,074","4,04,667","-6,34,577","-2,13,634","1,69,340","-25,26,277"
2010,1,"-7,04,121","40,958","-1,46,182","1,07,467","86,152","-6,15,726"
2010,2,"6,57,279","95,963","3,96,501","3,59,678","86,089","15,95,509"
2010,3,"11,78,343","2,62,817","3,97,620","4,61,467","69,066","23,69,313"
2010,4,"44,633","2,35,472","-2,00,267","1,74,245","62,815","3,16,898"
2010,TOTAL,"11,76,134","6,35,210","4,47,673","11,02,857","3,04,122","36,65,995"
2011,1,"-4,55,423","1,77,773","-6,12,217","37,456","4,263","-8,48,148"
2011,2,"11,52,067","1,51,816","-2,85,411","-24,198","9,125","10,03,401"
2011,3,"7,61,688","4,20,131","94,273","1,99,367","6,956","14,82,415"
2011,4,"-17,775","1,62,680","-3,63,956","9,876","-36,306","-2,45,480"
2011,TOTAL,"14,40,558","9,12,402","-11,67,311","2,22,501","-15,962","13,92,188"
2012,1,"-2,13,497","-3,57,006","-8,76,974","-1,96,898","-47,476","-16,91,852"
2012,2,"15,13,613","-1,04,616","-2,93,620","-3,10,960","-33,105","7,71,313"
2012,3,"5,64,041","1,87,415","3,09,960","3,27,948","-19,657","13,69,708"
2012,4,"3,48,019","1,69,237","-2,69,382","-2,40,082","-93,230","-85,437"
2012,TOTAL,"22,12,176","-1,04,970","-11,30,016","-4,19,991","-1,93,468","3,63,732"
2013,1,"2,27,114","2,90,326","-3,72,745","-3,35,847","1,45,522","-45,631"
2013,2,"21,47,207","-59,773","2,99,871","-1,98,500","-42,398","21,46,407"
2013,3,"23,84,395","1,25,408","6,20,320","83,532","9,086","32,22,741"
2013,4,"57,63,127","1,56,472","8,99,296","6,10,054","-41,253","73,87,696"
2013,TOTAL,"1,05,21,844","5,12,433","14,46,741","1,59,239","70,956","1,27,11,213"
2014,1,"9,26,580","22,305","-2,69,343","-1,45,495","15,751","5,49,797"
2014,2,"34,67,788","-54,932","5,21,443","-1,20,602","35,687","38,49,384"
2014,3,"28,28,108","-75,577","6,33,410","96,429","40,277","35,22,647"
2014,4,"14,22,907","-1,31,575","-3,42,098","-4,68,313","37,883","5,18,805"
2014,TOTAL,"86,45,383","-2,39,780","5,43,413","-6,37,981","1,29,598","84,40,634"
2015,1,"30,55,504","2,13,705","1,52,544","79,301","43,486","35,44,541"
2015,2,"46,78,728","1,58,598","6,55,387","2,01,055","38,855","57,32,622"
2015,3,"64,94,263","6,04,630","16,83,382","8,88,611","-15,769","96,55,117"
2015,4,"69,83,407","25,921","4,07,138","-7,333","38,520","74,47,652"
2015,TOTAL,"2,12,11,902","10,02,854","28,98,451","11,61,633","1,05,091","2,63,79,931"
2016,1,"28,56,167","3,62,407","43,896","2,26,726","5,922","34,95,119"
2016,2,"42,29,096","2,79,168","3,26,080","2,57,402","2,399","50,94,145"
2016,3,"34,07,438","2,66,508","3,51,436","1,63,709","6,472","41,95,563"
2016,4,"31,37,077","1,41,921","-91,411","-1,68,870","81,537","31,00,256"
2016,TOTAL,"1,36,29,778","10,50,005","6,30,002","4,78,968","96,330","1,58,85,083"
2017,1,"26,53,076","62,989","-1,34,888","-2,40,086","-14,685","23,26,407"
2017,2,"50,41,236","1,58,700","1,15,185","-2,59,166","-58,463","49,97,492"
2017,3,"35,99,494","3,88,455","19,548","-87,092","15,868","39,36,273"
2017,TOTAL,"1,12,93,806","6,10,144",-155,"-5,86,344","-57,279","1,12,60,171"
,,,,,,,
Note: All numbers are for scheduled services.,,,,,,,
